iter	Passed	Remaining
0	483	482541
1	772	385278
2	1007	334691
3	1242	309322
4	1489	296462
5	1745	289116
6	2092	296809
7	2433	301796
8	2676	294726
9	2909	288079
10	3141	282457
11	3373	277771
12	3614	274417
13	3864	272165
14	4100	269288
15	4338	266808
16	4597	265826
17	4832	263660
18	5063	261435
19	5295	259460
20	5532	257935
21	5760	256095
22	6000	254896
23	6246	254037
24	6578	256549
25	6893	258227
26	7211	259877
27	7551	262129
28	7831	262209
29	8059	260581
30	8306	259638
31	8556	258837
32	8795	257737
33	9032	256638
34	9275	255748
35	9512	254716
36	9743	253583
37	10045	254313
38	10429	257000
39	10722	257328
40	10983	256906
41	11249	256594
42	11535	256727
43	11793	256230
44	12054	255828
45	12333	255789
46	12638	256266
47	12915	256152
48	13176	255729
49	13426	255111
50	13674	254452
51	13921	253806
52	14171	253212
53	14430	252797
54	14746	253364
55	15063	253919
56	15322	253485
57	15612	253570
58	15952	254425
59	16238	254406
60	16505	254078
61	16767	253672
62	17027	253256
63	17265	252512
64	17517	251982
65	17758	251304
66	17996	250608
67	18232	249888
68	18471	249227
69	18779	249495
70	19013	248785
71	19249	248106
72	19494	247558
73	19732	246917
74	19983	246466
75	20229	245953
76	20464	245302
77	20723	244965
78	20965	244415
79	21208	243902
80	21449	243364
81	21682	242733
82	21925	242236
83	22159	241649
84	22493	242137
85	22779	242099
86	23030	241692
87	23349	241987
88	23614	241715
89	23886	241515
90	24144	241182
91	24419	241013
92	24680	240703
93	24941	240390
94	25215	240212
95	25566	240755
96	25828	240442
97	26083	240073
98	26322	239558
99	26550	238955
100	26777	238345
101	27017	237856
102	27263	237432
103	27503	236949
104	27735	236415
105	27957	235795
106	28182	235204
107	28420	234736
108	28655	234237
109	28892	233763
110	29125	233270
111	29378	232925
112	29612	232447
113	29850	231996
114	30076	231456
115	30351	231297
116	30679	231535
117	31015	231826
118	31323	231901
119	31646	232074
120	31979	232312
121	32296	232426
122	32615	232548
123	32943	232731
124	33258	232807
125	33571	232868
126	33888	232947
127	34200	232987
128	34507	232995
129	34829	233092
130	35144	233134
131	35462	233190
132	35804	233402
133	36097	233287
134	36376	233081
135	36662	232913
136	36968	232876
137	37261	232750
138	37584	232808
139	37889	232751
140	38204	232751
141	38489	232562
142	38812	232601
143	39143	232683
144	39473	232756
145	39770	232632
146	40075	232544
147	40388	232504
148	40695	232426
149	41030	232504
150	41330	232383
151	41640	232310
152	41934	232146
153	42274	232237
154	42562	232035
155	42887	232033
156	43204	231981
157	43516	231906
158	43840	231883
159	44187	231984
160	44487	231833
161	44791	231696
162	45115	231668
163	45431	231589
164	45760	231575
165	46063	231427
166	46351	231201
167	46667	231114
